message,entities_using_message,total_count,entity_list
49 33 0,9,3522.0,Wood|Water|Herbs|Berries|Stone|Rocky Outcrop|Herb Garden|Supply Cache|River Crossing
49 34 0,6,2886.0,Firewood|Flint|Weapon Cache|Dry Campsite|Riverbank|Animal Migration
17 2 0,5,1372.0,Storm|Frost|Poison Plant|Cliff|Infection
34 34 0,5,1078.0,Fish|Salmon|Cold Night|Thorns|Fever
1 34 0,3,988.0,Goat|Deer|Rabbit
27 34 0,2,964.0,Muddy Water|Mushrooms
48 48 0,2,626.0,Lion|Bear
10 48 0,2,563.0,Blizzard|Quicksand
17 17 0,1,516.0,Snake
8 48 0,1,508.0,Wolf
15 42 0,1,219.0,Lizard
42 42 0,1,219.0,Squirrel
9 40 0,1,157.0,Berry Patch
9 33 0,1,76.0,Cave
