message,entities_using_message,total_count,entity_list
44 40 0,10,3633.0,Wood|Water|Herbs|Berries|Stone|Rocky Outcrop|Herb Garden|Supply Cache|River Crossing|Berry Patch
44 34 0,7,2985.0,Firewood|Flint|Weapon Cache|Dry Campsite|Riverbank|Animal Migration|Cave
41 16 0,5,1518.0,Storm|Frost|Poison Plant|Cliff|Infection
37 21 0,3,1011.0,Goat|Deer|Rabbit
44 15 0,2,970.0,Muddy Water|Mushrooms
21 44 0,2,716.0,Thorns|Fever
44 16 0,2,567.0,Lion|Bear
43 16 0,2,502.0,Blizzard|Quicksand
44 21 0,2,340.0,Fish|Salmon
30 16 0,1,537.0,Snake
37 16 0,1,535.0,Wolf
11 32 0,1,210.0,Squirrel
11 16 0,1,209.0,Lizard
19 15 0,1,55.0,Cold Night
