message,entities_using_message,total_count,entity_list
20 14 0,9,3466.0,Wood|Water|Herbs|Berries|Stone|Rocky Outcrop|Herb Garden|Supply Cache|River Crossing
28 14 0,7,2984.0,Firewood|Flint|Weapon Cache|Dry Campsite|Riverbank|Animal Migration|Cave
45 15 0,5,1433.0,Storm|Frost|Poison Plant|Cliff|Infection
14 43 0,3,929.0,Goat|Deer|Rabbit
31 31 0,3,763.0,Cold Night|Thorns|Fever
11 14 0,2,986.0,Muddy Water|Mushrooms
45 31 0,2,595.0,Lion|Bear
45 7 0,2,567.0,Blizzard|Quicksand
43 31 0,2,380.0,Fish|Salmon
45 14 0,1,552.0,Wolf
45 16 0,1,543.0,Snake
45 45 0,1,215.0,Squirrel
44 45 0,1,208.0,Lizard
16 14 0,1,187.0,Berry Patch
