metric,n,mean,std,min,max
loss,5,-0.734955,0.001554,-0.736442,-0.732469
mean_reward,5,1.308570,0.004080,1.303977,1.312858
expected_reward,5,1.146950,0.004690,1.141652,1.153071
recon_acc,5,0.035267,0.030517,0.000000,0.082318
topsim,5,0.438693,0.058650,0.350415,0.502967
