message,entities_using_message,total_count,entity_list
27 6 0,9,3523.0,Wood|Water|Herbs|Berries|Stone|Rocky Outcrop|Herb Garden|Supply Cache|River Crossing
27 31 0,7,2916.0,Firewood|Flint|Weapon Cache|Dry Campsite|Riverbank|Animal Migration|Cave
36 36 0,5,1393.0,Storm|Frost|Poison Plant|Cliff|Infection
16 27 0,3,730.0,Cold Night|Thorns|Fever
47 31 0,2,1017.0,Muddy Water|Mushrooms
38 6 0,2,628.0,Lion|Bear
24 24 0,2,551.0,Blizzard|Quicksand
22 31 0,2,386.0,Fish|Salmon
36 26 0,1,542.0,Snake
10 6 0,1,521.0,Goat
38 31 0,1,492.0,Wolf
26 26 0,1,236.0,Squirrel
41 26 0,1,216.0,Lizard
6 6 0,1,213.0,Rabbit
9 6 0,1,211.0,Deer
29 6 0,1,188.0,Berry Patch
