message,entities_using_message,total_count,entity_list
43 8 0,8,2602.0,Squirrel|Wood|Water|Herbs|Berries|Rocky Outcrop|Herb Garden|Supply Cache
29 29 0,8,2131.0,Fish|Salmon|Muddy Water|Mushrooms|Cold Night|Thorns|Fever|Cave
16 16 0,7,2056.0,Storm|Blizzard|Frost|Poison Plant|Cliff|Quicksand|Infection
7 29 0,4,1807.0,Firewood|Weapon Cache|Dry Campsite|Riverbank
39 29 0,4,1696.0,Goat|Deer|Rabbit|Stone
29 16 0,3,1081.0,Wolf|Lion|Bear
32 8 0,2,460.0,Lizard|Berry Patch
39 16 0,1,694.0,Flint
13 16 0,1,551.0,Snake
6 8 0,1,403.0,River Crossing
4 4 0,1,391.0,Animal Migration
