metric,n,mean,std,min,max
loss,5,-0.665787,0.001308,-0.667547,-0.664067
mean_reward,5,1.307678,0.002518,1.305152,1.311018
expected_reward,5,1.296982,0.002726,1.293769,1.300575
recon_acc,5,0.045135,0.030472,0.013572,0.093665
topsim,5,0.413854,0.143490,0.199462,0.544537
