message,entities_using_message,total_count,entity_list
15 7 0,9,3415.0,Wood|Water|Herbs|Berries|Stone|Rocky Outcrop|Herb Garden|Supply Cache|River Crossing
15 42 0,7,2906.0,Firewood|Flint|Weapon Cache|Dry Campsite|Riverbank|Animal Migration|Cave
25 44 0,5,1470.0,Storm|Frost|Poison Plant|Cliff|Infection
32 36 0,4,924.0,Cold Night|Thorns|Fever|Berry Patch
43 43 0,3,989.0,Goat|Deer|Rabbit
7 35 0,2,942.0,Muddy Water|Mushrooms
44 44 0,2,584.0,Lion|Bear
5 44 0,2,529.0,Blizzard|Quicksand
49 43 0,2,356.0,Fish|Salmon
35 44 0,1,555.0,Snake
44 5 0,1,513.0,Wolf
46 35 0,1,230.0,Squirrel
7 7 0,1,218.0,Lizard
