message,entities_using_message,total_count,entity_list
12 20 0,8,3269.0,Squirrel|Wood|Water|Herbs|Stone|Herb Garden|Supply Cache|River Crossing
29 20 0,7,2894.0,Firewood|Flint|Weapon Cache|Dry Campsite|Riverbank|Animal Migration|Cave
47 39 0,4,1075.0,Storm|Frost|Poison Plant|Infection
43 20 0,3,945.0,Goat|Deer|Rabbit
25 20 0,2,979.0,Muddy Water|Mushrooms
20 20 0,2,568.0,Lion|Bear
12 7 0,2,366.0,Berries|Rocky Outcrop
43 43 0,2,350.0,Fish|Salmon
20 19 0,1,530.0,Wolf
7 39 0,1,524.0,Snake
49 39 0,1,443.0,Cliff
20 7 0,1,433.0,Blizzard
3 43 0,1,409.0,Fever
6 43 0,1,266.0,Thorns
8 8 0,1,229.0,Lizard
7 7 0,1,192.0,Berry Patch
39 47 0,1,133.0,Quicksand
16 43 0,1,54.0,Cold Night
