message,entities_using_message,total_count,entity_list
15 32 0,14,4814.0,Lizard|Squirrel|Wood|Water|Herbs|Berries|Stone|Flint|Rocky Outcrop|Herb Garden|Supply Cache|River Crossing|Berry Patch|Cave
44 32 0,5,2200.0,Firewood|Weapon Cache|Dry Campsite|Riverbank|Animal Migration
15 15 0,3,951.0,Goat|Deer|Rabbit
32 29 0,3,653.0,Storm|Frost|Cliff
42 22 0,2,992.0,Muddy Water|Mushrooms
32 9 0,2,830.0,Poison Plant|Infection
42 16 0,2,624.0,Lion|Bear
32 12 0,2,610.0,Blizzard|Quicksand
18 26 0,2,452.0,Cold Night|Fever
42 21 0,2,351.0,Fish|Salmon
42 8 0,1,541.0,Wolf
35 32 0,1,499.0,Snake
16 26 0,1,261.0,Thorns
