metric,n,mean,std,min,max
loss,5,-0.879449,0.001422,-0.880940,-0.877326
mean_reward,5,1.306937,0.003845,1.302265,1.311607
expected_reward,5,0.882388,0.002572,0.880565,0.886863
recon_acc,5,0.053280,0.037035,0.004505,0.091442
topsim,5,0.439227,0.057365,0.380925,0.534567
