message,entities_using_message,total_count,entity_list
10 20 20 0,8,3196.0,Wood|Water|Herbs|Stone|Rocky Outcrop|Herb Garden|Supply Cache|River Crossing
42 20 21 0,7,2916.0,Firewood|Flint|Weapon Cache|Dry Campsite|Riverbank|Animal Migration|Cave
42 41 41 0,5,1393.0,Storm|Frost|Poison Plant|Cliff|Infection
19 19 2 0,3,945.0,Goat|Deer|Rabbit
2 2 8 0,3,730.0,Cold Night|Thorns|Fever
42 21 2 0,2,1017.0,Muddy Water|Mushrooms
42 47 47 0,2,628.0,Lion|Bear
22 47 41 0,2,551.0,Blizzard|Quicksand
2 2 2 0,2,386.0,Fish|Salmon
8 41 41 0,1,542.0,Snake
42 42 42 0,1,492.0,Wolf
7 20 20 0,1,327.0,Berries
41 41 41 0,1,236.0,Squirrel
3 41 41 0,1,216.0,Lizard
28 20 20 0,1,188.0,Berry Patch
