run,run_label,loss,mean_reward,expected_reward,recon_acc,topsim
train_run24.txt,run24,-0.880260,1.303800,0.881592,0.016681,0.526849
train_run25.txt,run25,-0.879279,1.308972,0.882652,0.008763,0.474867
train_run26.txt,run26,-0.879529,1.307098,0.879183,0.000000,0.546769
train_run27.txt,run27,-0.880774,1.310862,0.889692,0.000000,0.247718
train_run28.txt,run28,-0.876178,1.299518,0.875660,0.048428,0.465959
