metric,n,mean,std,min,max
loss,5,-0.879204,0.001792,-0.880774,-0.876178
mean_reward,5,1.306050,0.004487,1.299518,1.310862
expected_reward,5,0.881756,0.005186,0.875660,0.889692
recon_acc,5,0.014775,0.020056,0.000000,0.048428
topsim,5,0.452432,0.119406,0.247718,0.546769
