message,entities_using_message,total_count,entity_list
35 33 0,7,3212.0,Wood|Water|Herbs|Berries|Stone|Supply Cache|River Crossing
12 47 0,5,2317.0,Firewood|Flint|Weapon Cache|Dry Campsite|Cave
33 47 0,3,945.0,Goat|Deer|Rabbit
44 14 0,3,730.0,Cold Night|Thorns|Fever
35 43 0,3,618.0,Storm|Frost|Poison Plant
37 47 0,2,1017.0,Muddy Water|Mushrooms
37 43 0,2,775.0,Cliff|Infection
37 19 0,2,628.0,Lion|Bear
35 26 0,2,551.0,Blizzard|Quicksand
47 14 0,2,386.0,Fish|Salmon
21 33 0,2,311.0,Rocky Outcrop|Herb Garden
9 9 0,1,542.0,Snake
37 37 0,1,492.0,Wolf
35 47 0,1,387.0,Animal Migration
47 47 0,1,236.0,Squirrel
43 43 0,1,216.0,Lizard
21 47 0,1,212.0,Riverbank
35 22 0,1,188.0,Berry Patch
