message,entities_using_message,total_count,entity_list
34 19 0,9,3522.0,Wood|Water|Herbs|Berries|Stone|Rocky Outcrop|Herb Garden|Supply Cache|River Crossing
34 14 0,7,2962.0,Firewood|Flint|Weapon Cache|Dry Campsite|Riverbank|Animal Migration|Cave
42 34 0,4,1311.0,Storm|Poison Plant|Cliff|Infection
23 26 0,3,988.0,Goat|Deer|Rabbit
23 45 0,3,760.0,Cold Night|Thorns|Fever
12 23 0,2,964.0,Muddy Water|Mushrooms
26 26 0,2,626.0,Lion|Bear
42 48 0,2,563.0,Blizzard|Quicksand
23 23 0,2,318.0,Fish|Salmon
48 34 0,1,516.0,Snake
7 26 0,1,508.0,Wolf
34 34 0,1,219.0,Squirrel
40 34 0,1,219.0,Lizard
34 26 0,1,157.0,Berry Patch
16 34 0,1,61.0,Frost
