message,entities_using_message,total_count,entity_list
12 12 0,9,3178.0,Wood|Water|Herbs|Berries|Stone|Rocky Outcrop|Herb Garden|Supply Cache|River Crossing
10 12 0,7,2883.0,Firewood|Flint|Weapon Cache|Dry Campsite|Riverbank|Animal Migration|Cave
40 40 0,3,1275.0,Poison Plant|Cliff|Infection
0 0 0,3,971.0,Lizard|Snake|Squirrel
19 19 0,3,926.0,Goat|Deer|Rabbit
31 16 0,3,747.0,Cold Night|Thorns|Fever
32 32 0,2,880.0,Muddy Water|Mushrooms
16 16 0,2,366.0,Fish|Salmon
47 40 0,2,185.0,Storm|Frost
36 12 0,1,555.0,Lion
40 22 0,1,552.0,Wolf
47 36 0,1,425.0,Blizzard
12 44 0,1,171.0,Berry Patch
36 36 0,1,137.0,Quicksand
36 22 0,1,47.0,Bear
