message,entities_using_message,total_count,entity_list
38 33 0,8,3154.0,Wood|Water|Herbs|Stone|Rocky Outcrop|Herb Garden|Supply Cache|River Crossing
46 33 0,7,2984.0,Firewood|Flint|Weapon Cache|Dry Campsite|Riverbank|Animal Migration|Cave
33 46 0,3,929.0,Goat|Deer|Rabbit
24 21 0,3,891.0,Frost|Poison Plant|Infection
12 33 0,2,986.0,Muddy Water|Mushrooms
49 21 0,2,751.0,Lizard|Snake
14 14 0,2,698.0,Thorns|Fever
38 38 0,2,595.0,Lion|Bear
17 49 0,2,567.0,Blizzard|Quicksand
19 38 0,2,499.0,Berries|Berry Patch
33 33 0,2,380.0,Fish|Salmon
18 18 0,1,552.0,Wolf
43 21 0,1,421.0,Cliff
21 21 0,1,215.0,Squirrel
17 21 0,1,121.0,Storm
14 46 0,1,65.0,Cold Night
