message,entities_using_message,total_count,entity_list
42 42 0,1,711.0,Stone
37 0 0,1,705.0,Firewood
48 48 0,1,700.0,Flint
24 46 0,1,692.0,Weapon Cache
47 42 0,1,686.0,Mushrooms
47 0 0,1,652.0,Water
16 16 0,1,560.0,Wolf
19 30 0,1,556.0,Goat
16 46 0,1,549.0,Snake
8 24 0,1,529.0,Lion
16 27 0,1,426.0,Poison Plant
16 42 0,1,422.0,Infection
16 30 0,1,416.0,Blizzard
16 15 0,1,407.0,Fever
16 0 0,1,406.0,Animal Migration
16 28 0,1,403.0,Cliff
5 0 0,1,387.0,River Crossing
19 0 0,1,342.0,Supply Cache
15 0 0,1,314.0,Wood
24 0 0,1,305.0,Herbs
21 0 0,1,277.0,Berries
18 40 0,1,253.0,Muddy Water
40 40 0,1,240.0,Thorns
18 43 0,1,226.0,Riverbank
14 0 0,1,220.0,Deer
3 43 0,1,220.0,Lizard
43 0 0,1,219.0,Dry Campsite
13 0 0,1,217.0,Herb Garden
16 44 0,1,216.0,Squirrel
39 0 0,1,202.0,Rabbit
43 40 0,1,194.0,Salmon
30 0 0,1,184.0,Berry Patch
0 40 0,1,156.0,Fish
40 30 0,1,127.0,Storm
3 33 0,1,109.0,Quicksand
14 30 0,1,67.0,Bear
40 33 0,1,65.0,Cold Night
16 5 0,1,53.0,Frost
3 40 0,1,50.0,Rocky Outcrop
40 43 0,1,47.0,Cave
