message,entities_using_message,total_count,entity_list
0 0 0,3,548.0,Salmon|Storm|Riverbank
35 0 0,2,389.0,Fish|Dry Campsite
45 45 0,1,767.0,Flint
35 6 0,1,735.0,Water
35 35 0,1,725.0,Mushrooms
35 2 0,1,715.0,Firewood
2 2 0,1,696.0,Stone
23 35 0,1,675.0,Weapon Cache
13 35 0,1,558.0,Goat
35 48 0,1,543.0,Wolf
35 47 0,1,539.0,Snake
31 2 0,1,536.0,Lion
41 0 0,1,458.0,Fever
13 0 0,1,435.0,Cliff
29 6 0,1,419.0,Poison Plant
40 0 0,1,409.0,Infection
13 23 0,1,395.0,Blizzard
49 0 0,1,395.0,River Crossing
13 8 0,1,381.0,Animal Migration
13 2 0,1,354.0,Supply Cache
9 0 0,1,315.0,Berries
43 0 0,1,301.0,Wood
39 0 0,1,295.0,Herbs
11 0 0,1,258.0,Muddy Water
36 0 0,1,246.0,Thorns
32 0 0,1,221.0,Herb Garden
12 0 0,1,220.0,Squirrel
46 0 0,1,220.0,Deer
3 0 0,1,198.0,Lizard
38 0 0,1,176.0,Rabbit
19 0 0,1,165.0,Berry Patch
7 0 0,1,128.0,Quicksand
14 0 0,1,69.0,Bear
28 0 0,1,58.0,Cave
45 0 0,1,56.0,Rocky Outcrop
22 0 0,1,52.0,Frost
17 0 0,1,47.0,Cold Night
