metric,n,mean,std,min,max
loss,5,-0.540864,0.279994,-0.668234,-0.040009
mean_reward,5,1.306295,0.004578,1.301276,1.311425
expected_reward,5,1.295786,0.004865,1.290298,1.301480
recon_acc,5,0.992553,0.016652,0.962766,1.000000
topsim,5,0.261673,0.086217,0.136036,0.346536
