message,entities_using_message,total_count,entity_list
16 26 0,1,756.0,Water
40 26 0,1,713.0,Mushrooms
26 26 0,1,702.0,Flint
26 47 0,1,696.0,Firewood
7 20 0,1,691.0,Stone
26 20 0,1,630.0,Weapon Cache
11 33 0,1,557.0,Goat
25 26 0,1,549.0,Wolf
33 26 0,1,515.0,Lion
33 33 0,1,476.0,Snake
8 33 0,1,469.0,Infection
20 48 0,1,452.0,Blizzard
20 1 0,1,442.0,Cliff
11 11 0,1,429.0,Fever
37 23 0,1,397.0,Animal Migration
20 5 0,1,395.0,Poison Plant
20 20 0,1,392.0,River Crossing
20 40 0,1,363.0,Supply Cache
20 25 0,1,338.0,Wood
20 33 0,1,335.0,Berries
20 26 0,1,331.0,Herbs
23 20 0,1,244.0,Deer
5 23 0,1,240.0,Lizard
20 23 0,1,228.0,Muddy Water
14 23 0,1,227.0,Rabbit
23 23 0,1,221.0,Thorns
2 23 0,1,219.0,Dry Campsite
3 23 0,1,216.0,Squirrel
8 23 0,1,216.0,Herb Garden
23 0 0,1,194.0,Riverbank
39 0 0,1,192.0,Berry Patch
42 0 0,1,181.0,Salmon
0 0 0,1,175.0,Fish
4 0 0,1,115.0,Quicksand
29 0 0,1,111.0,Storm
18 0 0,1,67.0,Bear
15 0 0,1,66.0,Cold Night
21 0 0,1,58.0,Frost
1 0 0,1,53.0,Cave
5 0 0,1,51.0,Rocky Outcrop
